kepler_name,kepoi_name,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_impact,koi_depth,koi_steff,koi_slogg,koi_srad,koi_model_snr,Actual,Predicted,Probability
Kepler-284 c,K01301.02,37.5142128,5.303,2.68,478.0,12.38,0.366,935.0,5291.0,4.489,0.882,28.9,CONFIRMED,CONFIRMED,0.955
Kepler-199 b,K00638.01,23.6421965,5.018,2.9,595.0,29.65,0.022,1102.2,5750.0,4.538,0.882,97.2,CONFIRMED,CONFIRMED,0.955
Kepler-49 b,K00248.01,7.203855862,2.5418,2.25,509.0,15.87,0.037,1765.9,3834.0,4.708,0.539,101.1,CONFIRMED,CONFIRMED,0.955
Kepler-79 c,K00152.02,27.40229859,6.8491,3.63,734.0,68.46,0.022,747.5,6198.0,4.237,1.324,79.3,CONFIRMED,CONFIRMED,0.955
,K01861.01,17.50441726,4.2585,3.56,824.0,108.78,0.006,725.4,5815.0,4.16,1.329,47.5,CANDIDATE,CONFIRMED,0.955
Kepler-848 b,K01438.01,6.91134223,5.6743,1.9,1086.0,328.65,0.259,201.7,5685.0,4.194,1.35,44.0,CONFIRMED,CONFIRMED,0.955
,K06888.01,23.3924063,3.416,0.84,701.0,57.23,0.3153,62.3,6221.0,4.4,1.05,8.1,FALSE POSITIVE,CANDIDATE,0.95
Kepler-521 b,K00317.01,22.20809549,7.3327,3.02,803.0,98.36,0.017,463.2,6336.0,4.266,1.403,92.7,CONFIRMED,CONFIRMED,0.95
Kepler-414 c,K00341.01,7.170710381,2.9225,2.73,890.0,148.09,0.188,863.3,5497.0,4.437,0.941,89.3,CONFIRMED,CONFIRMED,0.95
Kepler-269 c,K01127.02,8.1280933,3.727,1.39,875.0,138.51,0.357,224.1,5831.0,4.517,0.921,10.7,CONFIRMED,CANDIDATE,0.95
Kepler-107 c,K00117.02,4.90144976,4.1654,1.7,1262.0,598.74,0.529,140.7,5847.0,4.191,1.402,50.6,CONFIRMED,CONFIRMED,0.945
Kepler-186 d,K00571.02,13.3430025,2.7399,1.29,379.0,4.87,0.517,799.7,3751.0,4.8,0.443,47.1,CONFIRMED,CONFIRMED,0.945
Kepler-537 b,K00361.01,3.247548814,2.5146,1.41,1181.0,460.67,0.31,209.7,5703.0,4.498,0.975,51.6,CONFIRMED,CONFIRMED,0.945
,K04766.01,5.56676609,1.812,1.12,859.0,128.51,0.392,173.8,5032.0,4.479,0.859,12.0,CANDIDATE,CANDIDATE,0.945
Kepler-824 b,K01341.01,4.51436096,3.0083,1.84,1231.0,543.73,0.118,230.7,5940.0,4.306,1.215,28.4,CONFIRMED,CONFIRMED,0.945
Kepler-1330 b,K02739.01,10.10773789,3.828,1.98,879.0,140.75,0.151,294.9,5480.0,4.26,1.174,25.3,CONFIRMED,CONFIRMED,0.94
Kepler-241 b,K00842.01,12.71809866,3.0957,2.31,562.0,23.6,0.427,1149.4,4702.0,4.592,0.686,52.7,CONFIRMED,CONFIRMED,0.94
Kepler-69 b,K00172.01,13.7223682,5.1231,2.23,746.0,73.16,0.009,571.1,5637.0,4.399,0.943,97.9,CONFIRMED,CONFIRMED,0.94
Kepler-159 c,K00448.02,43.5859419,4.6814,2.05,275.0,1.35,0.011,1708.7,3893.0,4.758,0.5,38.9,CONFIRMED,CONFIRMED,0.94
Kepler-197 d,K00623.02,15.67750191,5.5082,1.42,810.0,101.79,0.911,115.5,6003.0,4.303,1.109,39.6,CONFIRMED,CONFIRMED,0.94
Kepler-1079 b,K02067.01,13.24503482,4.4078,1.77,887.0,146.31,0.498,156.1,5636.0,4.147,1.39,35.7,CONFIRMED,CONFIRMED,0.94
Kepler-80 c,K00500.02,9.521644639,2.3569,2.16,495.0,14.2,0.023,1491.3,4041.0,4.697,0.567,79.2,CONFIRMED,CONFIRMED,0.94
Kepler-169 e,K00505.01,13.76710058,2.9105,2.24,595.0,29.55,0.806,684.8,5001.0,4.582,0.76,41.6,CONFIRMED,CONFIRMED,0.935
Kepler-137 c,K00313.01,18.73577127,3.0356,2.1,568.0,24.66,0.785,567.2,5188.0,4.547,0.795,81.8,CONFIRMED,CONFIRMED,0.935
Kepler-245 e,K00869.04,3.219814777,2.0642,1.69,998.0,234.93,0.06,488.2,5103.0,4.562,0.787,30.5,CONFIRMED,CONFIRMED,0.935
Kepler-1052 b,K02012.01,34.8536903,5.333,2.4,522.0,17.62,0.493,767.7,5818.0,4.554,0.848,27.0,CONFIRMED,CONFIRMED,0.935
Kepler-559 b,K00460.01,17.58751692,4.3773,4.03,706.0,58.6,0.106,1377.8,5433.0,4.302,1.107,109.4,CONFIRMED,CONFIRMED,0.935
,K00289.01,26.62941953,7.8709,3.13,742.0,71.75,0.015,492.8,5866.0,4.117,1.417,106.9,CANDIDATE,CONFIRMED,0.935
Kepler-137 b,K00313.02,8.43639829,3.2451,1.5,742.0,71.51,0.51,345.5,5188.0,4.547,0.795,76.8,CONFIRMED,CONFIRMED,0.935
,K03117.01,6.06664931,1.962,0.87,915.0,165.66,0.902,65.3,5569.0,4.521,0.892,10.9,CANDIDATE,CANDIDATE,0.935
,K01358.01,5.644914154,2.2599,2.66,744.0,72.38,0.445,1397.9,4769.0,4.622,0.714,63.9,CANDIDATE,CONFIRMED,0.935
Kepler-181 b,K00543.02,3.137845914,1.91,1.5,1041.0,277.64,0.454,305.7,5041.0,4.479,0.857,30.8,CONFIRMED,CONFIRMED,0.935
Kepler-477 b,K00163.01,11.1199028,3.3759,2.08,649.0,42.07,0.72,636.3,5078.0,4.581,0.766,100.3,CONFIRMED,CONFIRMED,0.935
Kepler-238 c,K00834.03,6.15560285,4.9843,2.32,1146.0,406.94,0.235,285.0,5739.0,4.191,1.384,35.1,CONFIRMED,CONFIRMED,0.935
Kepler-251 d,K00907.02,30.1329298,5.172,3.14,536.0,19.55,0.839,1015.8,5527.0,4.488,0.866,44.8,CONFIRMED,CONFIRMED,0.935
Kepler-856 b,K01457.01,8.027681123,3.0942,8.43,824.0,109.35,0.495,8725.4,5569.0,4.546,0.887,461.5,CONFIRMED,CONFIRMED,0.935
Kepler-617 b,K00596.01,1.682695938,1.3867,1.23,750.0,74.7,0.025,703.8,3669.0,4.787,0.47,75.4,CONFIRMED,CONFIRMED,0.935
Kepler-183 c,K00551.01,11.6370303,3.3372,2.9,857.0,127.46,0.066,604.3,5576.0,4.257,1.198,36.4,CONFIRMED,CONFIRMED,0.93
,K04702.01,5.81289843,3.979,0.93,1102.0,348.61,0.499,76.3,6175.0,4.41,1.041,9.5,FALSE POSITIVE,CANDIDATE,0.93
Kepler-150 c,K00408.01,7.381980206,3.1152,3.42,876.0,138.88,0.096,1433.8,5559.0,4.47,0.914,101.6,CONFIRMED,CONFIRMED,0.93
Kepler-186 c,K00571.01,7.26731094,2.2691,1.14,464.0,10.93,0.043,659.1,3751.0,4.8,0.443,47.8,CONFIRMED,CONFIRMED,0.93
Kepler-1651 b,K01725.01,9.8786461,1.8915,1.6,393.0,5.65,0.019,1472.7,3609.0,4.843,0.422,49.2,CONFIRMED,CONFIRMED,0.93
Kepler-190 c,K00579.02,3.763041531,1.6011,1.63,948.0,190.67,0.76,354.5,5103.0,4.562,0.787,37.9,CONFIRMED,CONFIRMED,0.93
Kepler-225 c,K00736.01,18.79418506,3.2906,2.33,412.0,6.79,0.356,1529.0,4126.0,4.668,0.602,40.2,CONFIRMED,CONFIRMED,0.93
Kepler-99 b,K00305.01,4.603575293,2.3499,1.51,810.0,101.65,0.246,440.4,4783.0,4.602,0.741,79.7,CONFIRMED,CONFIRMED,0.93
Kepler-467 b,K00118.01,24.99324319,5.9409,2.29,712.0,60.88,0.686,269.6,5718.0,4.181,1.317,62.0,CONFIRMED,CONFIRMED,0.93
,K06137.02,7.384681,3.548,1.22,1000.0,236.56,0.068,142.8,6174.0,4.445,1.021,10.6,FALSE POSITIVE,CANDIDATE,0.93
Kepler-481 b,K00173.01,10.06083238,4.5718,2.58,899.0,154.16,0.672,460.2,5705.0,4.297,1.14,86.4,CONFIRMED,CONFIRMED,0.925
Kepler-77 b,K00127.01,3.578780566,2.91089,10.43,1145.0,406.6,0.079,11382.0,5524.0,4.421,0.994,1838.4,CONFIRMED,CONFIRMED,0.925
,K02050.01,75.3787816,5.268,1.6,360.0,3.97,0.046,387.7,5061.0,4.488,0.841,30.1,FALSE POSITIVE,CONFIRMED,0.925
Kepler-641 b,K00670.01,9.48965527,3.587,2.16,926.0,173.79,0.795,262.2,5672.0,4.279,1.204,42.5,CONFIRMED,CONFIRMED,0.925
Kepler-640 b,K00666.01,22.24814617,4.1483,2.72,609.0,32.58,0.868,613.7,5629.0,4.503,0.943,74.2,CONFIRMED,CONFIRMED,0.925
Kepler-334 c,K01909.01,12.75800092,4.1828,1.49,822.0,107.96,0.011,187.9,5782.0,4.34,1.095,41.7,CONFIRMED,CONFIRMED,0.925
Kepler-1074 b,K02057.01,5.94565516,2.1604,1.12,568.0,24.71,0.229,401.2,3974.0,4.7,0.564,28.5,CONFIRMED,CONFIRMED,0.925
,K05768.01,15.4032765,3.246,1.32,626.0,36.41,0.623,253.0,5272.0,4.508,0.799,9.2,FALSE POSITIVE,CANDIDATE,0.925
,K04896.01,19.5945772,6.77,1.18,724.0,64.98,0.389,129.3,6118.0,4.416,1.023,8.8,CANDIDATE,CANDIDATE,0.92
Kepler-102 d,K00082.02,10.31174786,3.1818,1.34,634.0,38.13,0.747,275.9,4900.0,4.602,0.741,81.7,CONFIRMED,CONFIRMED,0.92
,K00522.01,12.82993461,2.942,3.31,734.0,68.41,0.594,1417.4,5862.0,4.555,0.844,79.6,CANDIDATE,CONFIRMED,0.92
Kepler-581 b,K00504.01,40.606895,5.756,2.67,521.0,17.4,0.494,657.5,5538.0,4.384,1.027,36.3,CONFIRMED,CONFIRMED,0.92
Kepler-120 c,K00222.02,12.7945474,3.4197,1.6,455.0,10.1,0.18,816.7,4090.0,4.696,0.571,54.1,CONFIRMED,CONFIRMED,0.92
,K05701.01,48.55059299,1.79,2.39,878.0,141.6,0.537,421.1,5767.0,4.438,1.0,23.0,FALSE POSITIVE,CANDIDATE,0.92
,K00426.01,16.30141333,3.5764,3.84,805.0,99.08,0.786,942.3,6072.0,4.328,1.138,62.4,CANDIDATE,CONFIRMED,0.92
,K02029.04,4.78850084,2.099,0.63,889.0,147.95,0.343,66.5,5208.0,4.563,0.772,7.2,CANDIDATE,CANDIDATE,0.92
Kepler-356 b,K02053.02,4.6126736,3.0643,1.6,1294.0,663.8,0.755,133.2,6140.0,4.265,1.277,34.3,CONFIRMED,CONFIRMED,0.915
Kepler-153 c,K00431.02,46.9026431,3.9264,2.6,458.0,10.44,0.645,821.3,5402.0,4.452,0.865,40.6,CONFIRMED,CONFIRMED,0.915
Kepler-691 b,K00818.01,8.11437482,2.2736,2.1,460.0,10.55,0.573,1558.0,3692.0,4.753,0.517,56.4,CONFIRMED,CONFIRMED,0.915
Kepler-1256 b,K02488.01,12.4128518,4.298,1.5,933.0,179.24,0.711,108.1,5945.0,4.196,1.346,19.4,CONFIRMED,CONFIRMED,0.915
Kepler-1026 b,K01959.01,36.5157639,3.6577,2.55,425.0,7.71,0.787,861.3,4847.0,4.54,0.781,34.7,CONFIRMED,CONFIRMED,0.915
Kepler-191 c,K00582.02,17.73842886,3.0049,2.47,596.0,29.74,0.845,605.5,5105.0,4.469,0.868,29.8,CONFIRMED,CONFIRMED,0.915
Kepler-977 b,K01847.01,26.85323647,4.4557,2.65,544.0,20.77,0.01,965.8,5329.0,4.455,0.869,53.3,CONFIRMED,CONFIRMED,0.915
Kepler-219 c,K00718.02,22.71443351,6.0875,4.01,766.0,81.57,0.816,575.1,5788.0,4.16,1.495,74.4,CONFIRMED,CONFIRMED,0.915
,K02739.02,7.0956395,3.465,1.2,989.0,225.73,0.06,108.1,5480.0,4.26,1.174,10.5,CANDIDATE,CANDIDATE,0.915
Kepler-425 b,K00188.01,3.797018259,2.2608,10.07,982.0,219.64,0.321,14431.0,5167.0,4.527,0.848,1549.0,CONFIRMED,CONFIRMED,0.91
Kepler-1034 b,K01976.01,12.12401737,3.3091,2.37,675.0,48.98,0.029,788.4,5094.0,4.469,0.87,40.1,CONFIRMED,CONFIRMED,0.91
Kepler-218 b,K00711.02,3.619309734,3.0504,1.47,1156.0,422.53,0.116,206.6,5497.0,4.394,1.046,47.4,CONFIRMED,CONFIRMED,0.91
Kepler-660 b,K00746.01,9.27358173,3.2875,2.47,649.0,41.85,0.387,1288.3,4856.0,4.583,0.696,87.2,CONFIRMED,CONFIRMED,0.91
Kepler-151 b,K00413.01,15.22895514,2.5967,3.0,639.0,39.4,0.777,1124.8,5456.0,4.562,0.812,63.8,CONFIRMED,CONFIRMED,0.91
Kepler-11 d,K00157.02,22.687155,5.4921,3.2,653.0,42.95,0.023,960.0,5657.0,4.364,1.046,122.8,CONFIRMED,CONFIRMED,0.91
Kepler-504 b,K00249.01,9.549277089,1.5832,1.57,374.0,4.62,0.068,1826.9,3547.0,4.899,0.369,112.2,CONFIRMED,CONFIRMED,0.91
,K00691.01,29.66631669,8.412,2.83,644.0,40.68,0.019,668.0,5956.0,4.322,1.098,95.3,CANDIDATE,CONFIRMED,0.91
Kepler-600 b,K00560.01,23.67513153,4.647,2.76,528.0,18.38,0.822,980.4,5309.0,4.588,0.781,32.6,CONFIRMED,CONFIRMED,0.905
Kepler-1595 b,K04364.01,4.56383697,2.271,1.22,980.0,218.18,0.365,201.8,5408.0,4.496,0.861,9.9,CONFIRMED,CANDIDATE,0.905
,K06617.01,8.0018897,3.425,0.9,864.0,131.75,0.442,102.7,5830.0,4.54,0.876,9.8,CANDIDATE,CANDIDATE,0.9
Kepler-628 b,K00631.01,15.458056682,8.79536,9.11,871.0,136.4,0.05,4253.2,5868.0,4.169,1.407,1055.9,CONFIRMED,CONFIRMED,0.9
Kepler-1116 b,K02140.01,41.6977582,5.513,2.26,488.0,13.45,0.018,684.8,5730.0,4.545,0.87,27.7,CONFIRMED,CONFIRMED,0.9
,K05597.01,7.77710639,3.418,0.73,773.0,84.44,0.196,77.4,5073.0,4.481,0.851,10.6,CANDIDATE,CANDIDATE,0.9
Kepler-322 c,K01820.01,4.33722007,2.4973,1.63,996.0,231.86,0.053,358.5,5390.0,4.499,0.876,47.9,CONFIRMED,CONFIRMED,0.9
,K07106.01,5.01880305,1.823,1.08,1178.0,455.98,0.172,98.7,6220.0,4.398,1.083,10.3,CANDIDATE,CANDIDATE,0.895
Kepler-93 b,K00069.01,4.72674037,2.9267,1.56,1028.0,264.08,0.657,273.1,5648.0,4.472,0.894,287.8,CONFIRMED,CONFIRMED,0.895
Kepler-665 b,K00758.01,16.01308419,3.2554,3.1,593.0,29.31,0.799,1121.9,5015.0,4.499,0.826,33.2,CONFIRMED,CONFIRMED,0.895
,K04820.01,14.7401061,5.637,1.48,750.0,74.65,0.116,238.0,5999.0,4.494,0.959,10.3,CANDIDATE,CANDIDATE,0.895
,K04526.02,11.8187288,4.017,2.09,919.0,168.38,0.282,249.0,5803.0,4.211,1.328,10.3,CANDIDATE,CANDIDATE,0.895
Kepler-28 c,K00870.02,8.98581901,2.8606,1.65,509.0,15.9,0.008,881.3,4072.0,4.696,0.57,51.8,CONFIRMED,CONFIRMED,0.895
Kepler-222 d,K00723.02,28.08185982,4.5288,3.63,522.0,17.52,0.425,1840.3,5431.0,4.563,0.843,50.8,CONFIRMED,CONFIRMED,0.895
Kepler-1183 b,K02308.01,28.5057217,6.324,2.55,555.0,22.43,0.695,755.8,5712.0,4.534,0.87,20.8,CONFIRMED,CONFIRMED,0.89
Kepler-411 c,K01781.01,7.834433676,2.89,3.47,689.0,53.33,0.714,2018.1,4920.0,4.62,0.72,246.6,CONFIRMED,CONFIRMED,0.89
Kepler-758 b,K01060.01,12.10968709,6.3461,2.98,1005.0,240.8,0.924,284.7,6021.0,4.093,1.458,33.4,CONFIRMED,CONFIRMED,0.89
,K01268.01,268.9410974,5.4434,13.57,321.0,2.52,0.765,9010.2,5798.0,4.224,1.306,120.4,CANDIDATE,CANDIDATE,0.89
,K06765.01,13.05609,3.498,1.3,814.0,103.85,0.097,170.8,6078.0,4.434,0.994,10.8,CANDIDATE,CANDIDATE,0.89
,K00566.02,14.1573717,3.786,1.1,778.0,86.67,0.138,130.0,6122.0,4.487,0.964,9.3,CANDIDATE,CANDIDATE,0.89
Kepler-114 b,K00156.02,5.188563677,2.3683,1.0,586.0,27.95,0.179,358.7,3980.0,4.722,0.54,56.4,CONFIRMED,CONFIRMED,0.89
Kepler-1057 b,K02019.01,14.08826442,4.1847,2.66,724.0,64.97,0.133,889.4,5853.0,4.529,0.895,34.2,CONFIRMED,CONFIRMED,0.89
,K03232.01,6.05919881,1.365,1.21,976.0,214.55,0.438,154.2,5734.0,4.462,0.962,11.7,CANDIDATE,CANDIDATE,0.89
Kepler-1521 b,K03835.01,47.1484324,3.1347,2.58,391.0,5.5,0.668,1113.8,4975.0,4.579,0.734,54.5,CONFIRMED,CONFIRMED,0.89
Kepler-52 b,K00775.02,7.8774163,2.0805,2.16,553.0,22.18,0.041,1306.1,4126.0,4.661,0.615,38.7,CONFIRMED,CONFIRMED,0.89
,K06178.01,13.0327301,3.902,1.64,809.0,101.4,0.67,242.3,6122.0,4.471,0.996,11.1,CANDIDATE,CANDIDATE,0.89
Kepler-184 d,K00567.03,29.02235217,4.0263,2.55,559.0,23.06,0.902,637.6,5788.0,4.524,0.848,41.4,CONFIRMED,CONFIRMED,0.885
,K06355.02,6.72876606,2.277,1.03,940.0,184.66,0.5757,117.4,5823.0,4.489,0.919,7.8,CANDIDATE,CANDIDATE,0.885
Kepler-860 b,K01481.01,5.101375725,2.595,2.84,1050.0,287.28,0.027,894.6,5869.0,4.479,0.954,55.1,CONFIRMED,CONFIRMED,0.885
Kepler-715 b,K00891.01,10.00653012,5.344,3.52,876.0,139.21,0.862,936.1,6063.0,4.47,1.001,71.9,CONFIRMED,CONFIRMED,0.885
Kepler-18 b,K00137.03,3.504691252,1.9811,2.03,1165.0,435.21,0.741,315.1,5356.0,4.338,1.055,67.5,CONFIRMED,CONFIRMED,0.885
,K06993.01,13.8086331,3.613,1.09,659.0,44.5,0.029,207.1,5515.0,4.568,0.761,9.0,CANDIDATE,CANDIDATE,0.885
Kepler-37 d,K00245.01,39.79220077,4.466,1.9,458.0,10.38,0.019,610.4,5437.0,4.571,0.781,179.5,CONFIRMED,CONFIRMED,0.885
,K05297.01,8.0906952,2.648,0.8,811.0,102.43,0.151,82.4,5374.0,4.495,0.902,8.1,CANDIDATE,CANDIDATE,0.885
Kepler-11 b,K00157.06,10.30401132,4.2246,1.84,849.0,122.98,0.017,316.1,5657.0,4.364,1.046,53.8,CONFIRMED,CONFIRMED,0.885
,K04711.01,4.3638313,1.457,1.08,976.0,214.31,0.39,194.1,5623.0,4.596,0.763,10.3,CANDIDATE,CANDIDATE,0.885
Kepler-753 b,K01024.01,5.747711909,1.8923,1.86,641.0,40.07,0.575,820.1,4252.0,4.64,0.632,51.7,CONFIRMED,CONFIRMED,0.885
Kepler-792 b,K01212.01,11.30123036,4.022,1.85,852.0,124.42,0.117,277.1,5730.0,4.34,1.122,18.5,CONFIRMED,CONFIRMED,0.885
Kepler-113 b,K00153.02,4.75400072,2.5394,2.0,775.0,85.23,0.672,748.7,4728.0,4.628,0.693,141.4,CONFIRMED,CONFIRMED,0.885
,K00932.01,3.855599139,3.183,3.57,1158.0,425.74,0.864,1030.9,5936.0,4.501,0.965,90.1,FALSE POSITIVE,CONFIRMED,0.88
,K07032.01,3.64049242,1.194,0.61,1136.0,393.32,0.181,42.1,5745.0,4.503,0.936,9.5,CANDIDATE,CANDIDATE,0.88
Kepler-110 c,K00124.02,31.71981013,4.819,3.09,743.0,71.97,0.125,363.4,5869.0,4.024,1.626,63.1,CONFIRMED,CONFIRMED,0.88
,K01860.03,3.07644709,2.6326,1.61,1253.0,583.25,0.708,216.7,5670.0,4.397,1.022,29.3,CANDIDATE,CONFIRMED,0.88
Kepler-361 b,K02135.03,8.48651582,5.267,1.34,1060.0,298.03,0.009,110.8,6178.0,4.269,1.267,21.1,CONFIRMED,CONFIRMED,0.88
Kepler-215 b,K00700.02,9.36059705,3.2069,1.42,784.0,89.47,0.802,236.5,5677.0,4.563,0.828,42.0,CONFIRMED,CONFIRMED,0.88
Kepler-89 e,K00094.03,54.31996151,8.5858,6.07,584.0,27.4,0.497,1975.0,6181.0,4.234,1.331,291.3,CONFIRMED,CONFIRMED,0.88
Kepler-373 c,K02218.02,16.7261969,2.708,1.56,729.0,66.83,0.496,194.9,5588.0,4.331,1.1,11.6,CONFIRMED,CANDIDATE,0.88
Kepler-294 c,K01396.01,6.62643441,3.1752,2.54,895.0,151.59,0.111,814.6,5616.0,4.529,0.903,40.6,CONFIRMED,CONFIRMED,0.88
Kepler-316 c,K01713.01,6.82778157,2.3726,1.34,577.0,26.31,0.336,545.8,4198.0,4.689,0.574,32.2,CONFIRMED,CONFIRMED,0.88
,K00360.01,5.93719982,3.95,1.47,1059.0,297.14,0.748,175.6,6102.0,4.457,1.026,37.0,FALSE POSITIVE,CONFIRMED,0.88
Kepler-304 b,K01557.01,3.295701024,1.8268,2.81,875.0,138.38,0.267,1745.7,4723.0,4.628,0.691,114.7,CONFIRMED,CONFIRMED,0.88
Kepler-1209 b,K02366.01,25.3690868,4.746,1.67,755.0,76.9,0.845,110.1,6126.0,4.224,1.406,21.6,CONFIRMED,CONFIRMED,0.88
,K06568.01,6.27651592,1.973,0.65,532.0,18.89,0.172,166.0,3914.0,4.748,0.515,8.9,CANDIDATE,CANDIDATE,0.88
Kepler-341 e,K01952.04,42.4729078,7.253,2.03,539.0,19.93,0.361,334.0,5616.0,4.327,1.111,22.8,CONFIRMED,CONFIRMED,0.88
Kepler-106 c,K00116.01,13.57078281,3.3539,2.64,785.0,89.61,0.866,511.7,5854.0,4.406,1.012,88.4,CONFIRMED,CONFIRMED,0.88
Kepler-1144 b,K02212.01,17.14648756,4.2354,3.64,811.0,102.24,0.918,440.3,5559.0,4.127,1.412,28.3,CONFIRMED,CONFIRMED,0.88
Kepler-495 b,K00221.01,3.413036353,2.61366,6.62,1200.0,490.24,0.046,3868.7,5392.0,4.314,1.087,480.7,CONFIRMED,CONFIRMED,0.88
Kepler-671 b,K00769.01,4.280963604,2.875,2.3,1012.0,247.87,0.424,750.8,5644.0,4.564,0.831,61.8,CONFIRMED,CONFIRMED,0.88
Kepler-50 b,K00262.01,7.81285862,4.098,1.68,1196.0,483.06,0.03,117.3,6237.0,4.136,1.543,32.3,CONFIRMED,CONFIRMED,0.88
